decil,n,taxa,lift
1,33084,0.6404606456293073,1.6799397291435487
2,33084,0.5269314472252449,1.3821506110793094
3,33083,0.463259075658193,1.2151368415772386
4,33084,0.4142788054648773,1.086660716770092
5,33083,0.3571320617839978,0.936763785934691
6,33084,0.38704509732801357,1.0152262132088885
7,33083,0.3328900039295106,0.8731764345745876
8,33084,0.29192358844154276,0.765720794000113
9,33083,0.24825439047244807,0.6511757066340768
10,33084,0.150223673074598,0.3940393814641293
