coluna,roc_auc_referencia,queda_media,queda_dp,n_repeticoes
caderno,0.6598992919366803,0.00030811723845494134,7.084494378800054e-05,5
mun_media_portugues_lag1,0.6598992919366803,0.04203031700077895,0.0008226764001965495,5
rede_grupo,0.6598992919366803,0.0028545674985892776,0.0002075394475322679,5
