bloco,n_features,roc_auc_referencia,queda_media,queda_dp,n_repeticoes,acima_do_piso
historico_municipal,7,0.6598992919366803,0.08277245773044338,0.0008985059230142258,10,True
territorial,5,0.6598992919366803,0.04623474377414201,0.0005615750466264898,10,True
estrutural,5,0.6598992919366803,0.0032949745692847586,0.00024218936309203538,10,True
metas,2,0.6598992919366803,0.003003266466040988,0.0001466570550152202,10,True
historico_escolar,1,0.6598992919366803,9.921009767821509e-05,3.934492589732411e-05,10,False
