cluster,cluster_nome,n_municipios,alunos_avaliados,porte_mediano,taxa_2023,taxa_2024,media_portugues,taxa_presenca,share_rede_estadual,niveis_0_a_2,niveis_3_a_5,niveis_6_a_8
0,alfabetização consolidada,378,79415,98.0,0.8468115548141418,0.92591137,804.3335,0.9692712025692017,0.008883045,1.961137566137566,18.319550264550266,79.71917989417989
1,faixa intermediária,2941,726949,95.0,0.6742383694896403,0.7342107,761.37964,0.9147412413470892,0.07481226,7.862097925875553,54.159183951037065,37.9786399183951
2,risco alto e cobertura menor,2142,1010348,138.0,0.46810720234623754,0.43920273,733.07025,0.8833472082141699,0.06761911,23.933916900093372,58.45431839402427,17.611671335200747
