porte_minimo,n_municipios,r2,correlacao,vies_medio
0,1104,0.6237351766793608,0.790353420245105,-0.005646173415114856
50,865,0.7073928286291723,0.8412143247997643,-0.002601671990636778
200,355,0.774281240861632,0.8808908159047707,-0.005079648231254735
