ano,meta_mediana,municipios_que_ja_atingem_com_a_taxa_de_2024,share_que_ja_atinge,gap_mediano,gap_mediano_anualizado_pp
2025,66.94,2322,0.43385650224215244,2.2449999999999974,2.2449999999999974
2026,69.875,1968,0.36771300448430494,5.349999999999994,2.674999999999997
2027,72.66499999999999,1658,0.30979073243647237,8.254999999999999,2.7516666666666665
2028,75.285,1421,0.26550822122571,11.080000000000002,2.7700000000000005
2029,77.73,1258,0.2350523168908819,13.469999999999999,2.694
2030,80.0,1141,0.2131913303437967,15.75,2.625
