coluna,feature,tipo,bloco,familia,sub_bloco,recorte,n,shap_medio_abs,participacao
caderno_16,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0005748413647211495,0.0006563553043103911
nome_regiao_Sul,nome_regiao,dummy,cat,territorial,territorial,global,50000,0.0005718494411179835,0.0006529391184762661
sigla_uf_PI,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0005145250660019309,0.0005874860039601397
sigla_uf_RO,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0004545913139240949,0.0005190534963193683
caderno_4,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0004345765543853443,0.000496200593946679
missingindicator_mun_taxa_alfab_lag1,mun_taxa_alfab_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,0.0004170383982799869,0.0004761754835526852
fonte_lag_municipal_agregado_r3,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,global,50000,0.0004151338366863564,0.00047400085037371836
sigla_uf_PR,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.000414046091333272,0.0004727588600159398
missingindicator_uf_taxa_alfab_lag1,uf_taxa_alfab_lag1,indicador_de_nulo,num,territorial,territorial,global,50000,0.0003612707492137305,0.0004124998427238214
sigla_uf_TO,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.000330964856739389,0.000377896499091716
sigla_uf_AP,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.00032410075304834126,0.0003700590483732187
caderno_21,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.00030920097155314423,0.00035304644069112826
sigla_uf_RN,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.00025781864741904236,0.0002943779748099833
sigla_uf_MS,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0002529046536831506,0.0002887671645032734
tem_historico_municipio,tem_historico_municipio,valor,num,estrutural,proveniencia_do_lag,global,50000,0.00024301082522337083,0.0002774703664855043
sigla_uf_PA,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0001108630424585153,0.00012658369845206346
caderno_9,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,9.705494235298403e-05,0.00011081757530413947
sigla_uf_AM,sigla_uf,dummy,cat,territorial,territorial,global,50000,8.978434543326663e-05,0.00010251598960305792
caderno_19,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,6.391370749715297e-05,7.297683066744646e-05
caderno_11,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,4.8911213267386024e-05,5.584694532878395e-05
missingindicator_mun_meta_2024_lag1,mun_meta_2024_lag1,indicador_de_nulo,num,metas,metas,global,50000,4.760187257599899e-05,5.4351936860911774e-05
sigla_uf_SP,sigla_uf,dummy,cat,territorial,territorial,global,50000,3.0781044231705764e-05,3.5145873094037494e-05
fonte_lag_uf_gold,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag,global,50000,2.3166343373175967e-05,2.6451388657174845e-05
missingindicator_mun_media_portugues_lag1,mun_media_portugues_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,1.1764426107773819e-05,1.3432651078877553e-05
missingindicator_uf_media_portugues_lag1,uf_media_portugues_lag1,indicador_de_nulo,num,territorial,territorial,global,50000,0.0,0.0
missingindicator_mun_desvio_vs_uf,mun_desvio_vs_uf,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,0.0,0.0
missingindicator_mun_taxa_presenca_lag1,mun_taxa_presenca_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,0.0,0.0
missingindicator_mun_n_alunos_lag1,mun_n_alunos_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,0.0,0.0
missingindicator_mun_share_rede_estadual_lag1,mun_share_rede_estadual_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,0.0,0.0
missingindicator_mun_n_escolas_lag1,mun_n_escolas_lag1,indicador_de_nulo,num,historico_municipal,historico_municipal,global,50000,0.0,0.0
sigla_uf_CE,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0,0.0
sigla_uf_DF,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0,0.0
fonte_lag_municipal_gold,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,global,50000,0.0,0.0
rede_grupo_Outros,rede_grupo,dummy,cat,estrutural,estrutural,global,50000,0.0,0.0
fonte_lag_uf_sem_historico,fonte_lag_uf,dummy,cat,estrutural,proveniencia_do_lag,global,50000,0.0,0.0
fonte_lag_municipal_sem_historico,fonte_lag_municipal,dummy,cat,estrutural,proveniencia_do_lag,global,50000,0.0,0.0
sigla_uf_SE,sigla_uf,dummy,cat,territorial,territorial,global,50000,0.0,0.0
caderno_infrequent_sklearn,caderno,dummy,cat_rara,estrutural,controle_negativo,global,50000,0.0,0.0
mun_media_portugues_lag1,mun_media_portugues_lag1,valor,num,historico_municipal,historico_municipal,gold,43263,0.27758398913551163,0.305843644149529
uf_media_portugues_lag1,uf_media_portugues_lag1,valor,num,territorial,territorial,gold,43263,0.0890473177993657,0.09811284960028366
mun_taxa_alfab_lag1,mun_taxa_alfab_lag1,valor,num,historico_municipal,historico_municipal,gold,43263,0.06882276945475749,0.07582932530099987
mun_taxa_presenca_lag1,mun_taxa_presenca_lag1,valor,num,historico_municipal,historico_municipal,gold,43263,0.06302592567050937,0.06944232930363894
uf_taxa_presenca_lag1,uf_taxa_presenca_lag1,valor,num,territorial,territorial,gold,43263,0.03493000208617029,0.03848607825493012
uf_taxa_alfab_lag1,uf_taxa_alfab_lag1,valor,num,territorial,territorial,gold,43263,0.03249264234628646,0.03580058120133204
sigla_uf_RS,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.031678735017730615,0.03490381340092405
mun_meta_2024_lag1,mun_meta_2024_lag1,valor,num,metas,metas,gold,43263,0.029283255484612514,0.03226446020128115
mun_n_escolas_lag1,mun_n_escolas_lag1,valor,num,historico_municipal,historico_municipal,gold,43263,0.027740874634746112,0.030565056063244576
rede_grupo_Estadual,rede_grupo,dummy,cat,estrutural,estrutural,gold,43263,0.026449654058026788,0.02914238176630627
nome_regiao_Sudeste,nome_regiao,dummy,cat,territorial,territorial,gold,43263,0.026336821323300712,0.029018062006814907
rede_grupo_Municipal,rede_grupo,dummy,cat,estrutural,estrutural,gold,43263,0.026184549459748244,0.028850287987155613
mun_desvio_vs_uf,mun_desvio_vs_uf,valor,num,historico_municipal,historico_municipal,gold,43263,0.024576365334935752,0.027078381420325634
mun_n_alunos_lag1,mun_n_alunos_lag1,valor,num,historico_municipal,historico_municipal,gold,43263,0.020269368913287088,0.022332907860995302
sigla_uf_MG,sigla_uf,dummy,cat,territorial,territorial,gold,43263,0.016176735233215625,0.017823620409725578
