taxa_suavizada,projecao,dp_latente,inferior,superior,p_abaixo,id_municipio,fold,ficou_abaixo,baseline_prevalencia,coberto,gap_ate_meta,taxa_2023_invertida
84.73276374581766,87.33746379406247,11.313251048083595,65.1638991917586,100.0,0.25830735969077356,1100098,0,1,0.4661062906724512,True,-5.299999999999997,-85.3
51.527708246833086,54.132408295077894,11.32185207805451,31.941985983801082,76.3228306063547,0.5696776645790872,1100130,0,0,0.4661062906724512,True,4.719999999999999,-51.4
72.05755687585065,74.66225692409546,11.47662858745041,52.168478228749855,97.15603561944106,0.4624350495304643,1100155,0,1,0.4661062906724512,True,1.1799999999999926,-72.4
62.18802432849886,64.79272437674368,12.722379676973494,39.857318412231294,89.72813034125605,0.5162160129253646,1100254,0,0,0.4661062906724512,True,2.9100000000000037,-62.4
68.65129198583628,71.25599203408109,10.862552232403564,49.96578087838493,92.54620318977723,0.4759224196597202,1100288,0,0,0.4661062906724512,True,1.7999999999999972,-68.8
62.874985882641376,65.47968593088619,11.47662858745041,42.98590723554059,87.97346462623179,0.5114805542360886,1100338,0,1,0.4661062906724512,True,2.8100000000000023,-63.0
61.250139349783964,63.85483939802877,13.84367431019002,36.721736336353956,90.98794245970359,0.5208878779231785,1100403,0,1,0.4661062906724512,True,3.0799999999999983,-61.5
54.92387039882358,57.52857044706839,16.20358169607872,25.770133902201643,89.28700699193513,0.532252997439455,1100601,0,0,0.4661062906724512,True,4.240000000000002,-54.6
79.4721276803958,82.07682772864061,13.237569939500608,56.13166740438935,100.0,0.4376662057416045,1100924,0,1,0.4661062906724512,True,-0.7000000000000028,-80.7
81.78699424639734,84.39169429464215,18.413967925851043,48.300980347498374,100.0,0.4057474379831503,1101476,0,1,0.4661062906724512,True,-6.099999999999994,-86.1
65.5086944260753,68.1133944743201,12.219974541637296,44.162684480714645,92.06410446792556,0.49956271422319193,1101492,0,1,0.4661062906724512,True,2.299999999999997,-65.8
55.907398968884074,58.51209901712888,16.271243703685833,26.62104737423052,90.40315066002724,0.5295884289543105,1101807,0,1,0.4661062906724512,True,4.019999999999996,-55.7
59.06242363144574,61.66712367969055,11.589103551683255,38.95289810528614,84.38134925409496,0.5307059152259564,1300706,0,1,0.4661062906724512,True,3.460000000000001,-59.1
45.35352941531377,47.95822946355858,10.806284363041726,26.778301305298434,69.13815762181872,0.6054966994245045,1301852,0,1,0.4661062906724512,True,5.649999999999999,-45.2
46.380862628989256,48.985562677234064,10.470240719902133,28.46426795676115,69.50685739770697,0.6052243505717692,1301902,0,1,0.4661062906724512,True,5.480000000000004,-46.3
41.503197867484324,44.10789791572913,13.237569939500608,18.162737591477875,70.05305823998039,0.5805764121914714,1302207,0,1,0.4661062906724512,True,6.199999999999996,-40.6
51.90621837889825,54.51091842714306,11.180170589462325,32.598186730782956,76.42365012350317,0.5681438378116274,1302702,0,0,0.4661062906724512,True,4.630000000000003,-51.8
23.003364438212504,25.608064486457316,13.327815097576444,0.0,51.730102070316335,0.5738647559906818,1302801,0,0,0.4661062906724512,True,7.09,-21.0
75.29498296583654,77.89968301408135,12.074814674115471,54.233481132819264,100.0,0.4538589406483443,1303205,0,1,0.4661062906724512,True,0.5999999999999943,-75.9
28.764158017863192,31.368858066108004,13.999258547730667,3.930815502291388,58.80690062992461,0.5720201844257784,1303601,0,0,0.4661062906724512,True,7.209999999999997,-26.7
33.440508899211586,36.045208947456395,10.90238885166801,14.676919452736094,57.41349844217669,0.642629798812937,1303908,0,1,0.4661062906724512,True,6.93,-33.1
41.61678876740695,44.22148881565176,10.476550012201844,23.687828109503478,64.75514952180004,0.6271794406744068,1304062,0,1,0.4661062906724512,True,6.119999999999997,-41.5
