k,inercia,silhueta,menor_cluster,queda_de_inercia
3,49635.2361,0.2486698847920278,378,
4,44556.6773,0.17404991958639027,303,5078.5588
5,41522.7739,0.17785981006139803,295,3033.9034
6,39159.4828,0.14231898384308297,219,2363.2911
7,37338.3738,0.1394929955939026,212,1821.109
8,35920.1718,0.1374377676951548,208,1418.202
