n_estimators,reg_lambda,roc_auc,roc_auc_dp,segundos
883,9.86,0.6646236872085639,0.027632751128658137,21.3
883,30.0,0.6647357970720768,0.027672729683914533,21.4
883,100.0,0.6646771127172544,0.027952643792465474,23.0
1500,9.86,0.6636272356215285,0.02768408316351383,32.5
1500,30.0,0.6637960565656622,0.027746372454410313,36.3
1500,100.0,0.6638461965697162,0.028052629691352974,34.3
2500,9.86,0.662744122344023,0.027867106575424034,51.2
2500,30.0,0.662896380357459,0.02808983472955244,51.6
2500,100.0,0.6628459103416386,0.02833209127257315,52.6
