cluster_nome,Centro-Oeste,Nordeste,Norte,Sudeste,Sul
alfabetização consolidada,0.10052910052910052,0.6746031746031746,0.005291005291005291,0.20634920634920634,0.013227513227513227
faixa intermediária,0.11084665079904794,0.16967018021081265,0.03978238694321659,0.40904454267256035,0.27065623937436245
risco alto e cobertura menor,0.04715219421101774,0.47992530345471524,0.13725490196078433,0.16666666666666666,0.16900093370681607
