dimensao,estrato,n,prevalencia,roc_auc,pr_auc,ks,brier
tem_historico_municipio,1,286358,0.37755187562421866,0.6706001949682586,0.543612791656577,0.23575317291707937,0.21484815552279168
tem_historico_municipio,0,44478,0.4049867350150636,0.5718071920872396,0.46023973910148597,0.1207310558680938,0.2378422519943856
fonte_lag_municipal,gold,286358,0.37755187562421866,0.6706001949682586,0.543612791656577,0.23575317291707937,0.21484815552279168
fonte_lag_municipal,agregado_r3,23522,0.3876371056882918,0.559843889937229,0.4387157900551619,0.09732314005291726,0.23628882218952307
fonte_lag_municipal,agregado_r5,19727,0.42277082171642927,0.5845563033195118,0.4862553547174828,0.15064147154218316,0.23892907697878843
fonte_lag_municipal,sem_historico,1229,0.451586655817738,0.5227430694789745,0.4738947360875057,0.057499933167588946,0.2501286469517998
nome_regiao,Sudeste,154802,0.35149416674203177,0.5908134936066477,0.4334762487519553,0.12098523506615022,0.22324802377306183
nome_regiao,Nordeste,76237,0.4264333591300812,0.7177965496429686,0.6207072487391483,0.30118433857924043,0.20865174524912297
nome_regiao,Sul,44643,0.37022601527675114,0.6724773110680291,0.5287406939530501,0.28153314789434003,0.2127436826549283
nome_regiao,Norte,31789,0.48976060901569723,0.6172101081546298,0.5939273010145043,0.17861284783010023,0.23940731759887598
nome_regiao,Centro-Oeste,23365,0.3042585063128611,0.6854623308676038,0.46222065331283246,0.2697775336492613,0.19379313848972063
sigla_uf,RJ,59568,0.37745098039215685,0.5510990775669411,0.4391948290079899,0.08435745033738777,0.23415813243378436
sigla_uf,MG,43826,0.27643408022634963,0.5689480546901128,0.3185249197516754,0.11498679006894091,0.19772889879399008
sigla_uf,SP,43267,0.403563917073058,0.5728487482581115,0.4617789020551629,0.12139063487388019,0.23745784066442355
sigla_uf,PR,19992,0.2495998399359744,0.5653408136096215,0.3012949334001379,0.08893654526757822,0.18522689773352646
sigla_uf,RS,16165,0.5430869161769255,0.5617780744593132,0.5940629113555242,0.09930517854761778,0.24555312424286976
sigla_uf,BA,15967,0.6571052796392559,0.5694978300492481,0.7052188682845129,0.11305112658133099,0.22321510908290249
sigla_uf,PE,15124,0.3792647447765142,0.5993560988270139,0.46157678272115865,0.14550519699619502,0.22839073368672616
sigla_uf,PA,12910,0.497986057319907,0.6121816792731227,0.5954850239492058,0.17504543054636246,0.2406667344585503
sigla_uf,CE,12314,0.11791456878349846,0.7201437214075102,0.25774330718260685,0.305340020786699,0.09601165913449322
sigla_uf,GO,11745,0.21345253299276287,0.6522815786721622,0.3154373458396445,0.2360515475482246,0.160669864976597
sigla_uf,MA,10794,0.42412451361867703,0.584851157795129,0.47214881447601253,0.17633983918387597,0.23910751651325224
sigla_uf,PB,9401,0.4206999255398362,0.5604867326278511,0.4632452761531525,0.1267443183110768,0.23578293597746872
sigla_uf,SC,8486,0.3251237332076361,0.5951873428124778,0.3938994985222875,0.15183921465207473,0.2150711562443215
sigla_uf,ES,8141,0.2889079965606191,0.5407091710410197,0.309433239812969,0.07650336434452853,0.20527623544144782
sigla_uf,AM,6654,0.5428313796212805,0.6185832363157945,0.6387754179214213,0.17852392092105862,0.23808054308811413
sigla_uf,MS,6460,0.42089783281733745,0.6543002458075426,0.5195778311093642,0.27660009129179863,0.22621024515374943
sigla_uf,TO,5388,0.4688195991091314,0.5696501319886043,0.5470032908183488,0.12216263231366536,0.24470151248435879
sigla_uf,MT,5160,0.36492248062015503,0.5563484923891406,0.43858368024758476,0.10810228712290282,0.2286028939862343
sigla_uf,PI,4163,0.3427816478501081,0.6470637803923497,0.45971147363777826,0.23506354065495433,0.21328108578963142
sigla_uf,RN,3898,0.6013340174448435,0.5390722115338156,0.6266713265716204,0.08845992506402056,0.238828231454495
sigla_uf,AP,3122,0.5208199871877002,0.6193983463898811,0.6484824014475906,0.202215337661398,0.2400934001178805
sigla_uf,RO,2515,0.3304174950298211,0.567912840037616,0.37414209941247883,0.17798577108540486,0.21847076559717263
sigla_uf,AL,2375,0.4842105263157895,0.599146051464064,0.5526062943619796,0.17645075421472933,0.24784772073566685
sigla_uf,SE,2201,0.6251703771013176,0.602514094432699,0.6910529132560095,0.16117952783650458,0.22782215879290973
sigla_uf,AC,1200,0.45416666666666666,0.5173485538202955,0.4739685764617116,0.053098956509559536,0.2515386863931953
rede_grupo,Municipal,307981,0.38294570119585297,0.6605686500214237,0.5384352296654465,0.22266532455916394,0.21808283906786846
rede_grupo,Estadual,22855,0.3582585867425071,0.6450286408754733,0.4975173577557886,0.2227667373150144,0.2160080920779113
quintil_presenca_municipal,q1_menor_presenca,83583,0.4233755668018616,0.6180502725700202,0.5502312832897308,0.194672341098454,0.23335569704216028
quintil_presenca_municipal,q5_maior_presenca,57245,0.2948030395667744,0.7109036868650623,0.4970156939463888,0.308263135868602,0.18364492910239918
quintil_presenca_municipal,q4,57054,0.32546359589161145,0.6644734221952817,0.48293663756198446,0.24710886034245805,0.20297673173412237
quintil_presenca_municipal,q3,57001,0.4085191487868634,0.6646716246873327,0.5733821409217621,0.24325658660030358,0.22152217211386332
quintil_presenca_municipal,sem_historico,44478,0.4049867350150636,0.5718071920872396,0.46023973910148597,0.1207310558680938,0.2378422519943856
quintil_presenca_municipal,q2,31475,0.44470214455917395,0.6436521637714154,0.5698692514081697,0.22882055799592127,0.23188388059834514
tem_lag_de_uf,demais_ufs,329636,0.3809747721729423,0.6601821939140832,0.5361234872049807,0.22197321112863028,0.2178171964825748
tem_lag_de_uf,AC_e_DF,1200,0.45416666666666666,0.5173485538202955,0.4739685764617116,0.053098956509559536,0.2515386863931953
