seed,fold,conjunto,n_features,roc_auc,pr_auc,n_teste,n_municipios_teste,segundos
42,0,A_sem_percentis,20,0.6707761424750456,0.5677644919264263,54120,191,2.7
42,0,B_com_percentis,25,0.6701392478593559,0.5653256753293036,54120,191,2.9
42,0,C_com_escola,34,0.6659121557926988,0.5635378484989868,54120,191,2.9
42,1,A_sem_percentis,20,0.6777054837429113,0.5744427578018825,54151,184,2.2
42,1,B_com_percentis,25,0.6822049237970776,0.5678648301446889,54151,184,2.4
42,1,C_com_escola,34,0.6772547873034593,0.5655816755347847,54151,184,2.7
42,2,A_sem_percentis,20,0.6376568926399324,0.5471065465558399,54083,180,2.4
42,2,B_com_percentis,25,0.637833302480867,0.5476470773237148,54083,180,2.5
42,2,C_com_escola,34,0.6385921737826517,0.5435758969482151,54083,180,2.8
