faixa,n_municipios,porte_mediano,evolucao_dp,dp_ajustado
"(0.0, 25.0]",231,20.0,22.72905224775278,26.898876552041013
"(25.0, 50.0]",745,38.0,20.233802323259614,20.663750504044437
"(50.0, 100.0]",1065,71.0,17.138043315339083,16.548053138082878
"(100.0, 200.0]",1097,140.0,14.187462139206104,13.671833593535881
"(200.0, 500.0]",941,292.0,12.000060441340734,11.847448988684251
"(500.0, 1000.0]",287,661.0,10.93841120782267,10.789981345901936
"(1000.0, inf]",245,1666.0,8.54450780589654,10.246777372132689
