regiao_de_teste,n_treino,n_teste,prevalencia_teste,roc_auc,segundos
Centro-Oeste,1369176,151840,0.3605308219178082,0.6129694347365071,18.2
Nordeste,1131765,389251,0.43239452178671345,0.7123609498664485,17.5
Norte,1364686,156330,0.4929763960852044,0.5814001180393429,17.8
Sudeste,931181,589835,0.38377342816211313,0.6179155502949049,15.0
Sul,1287256,233760,0.39408795345653663,0.619570502322319,17.6
