tipo,permutacao,roc_auc
real,-1,0.6666536716655554
nulo_global,0,0.4998710287387114
nulo_global,1,0.4992172184457955
nulo_global,2,0.49884917315450195
nulo_global,3,0.5010546105533566
nulo_global,4,0.49803353686956414
nulo_global,5,0.5016384108852888
nulo_global,6,0.5034285076305284
nulo_global,7,0.4999798376052553
nulo_global,8,0.5035678679580858
nulo_global,9,0.5012840121417573
nulo_global,10,0.4997406023574164
nulo_global,11,0.4972973471659728
nulo_global,12,0.5003777807012915
nulo_global,13,0.49843697993714137
nulo_global,14,0.5007356688203527
nulo_global,15,0.4996490940114669
nulo_global,16,0.501122426877595
nulo_global,17,0.5004002786901235
nulo_global,18,0.5010406829821289
nulo_global,19,0.4980358264027298
nulo_global,20,0.49822419066098145
nulo_global,21,0.500701325265196
nulo_global,22,0.5006083961200735
nulo_global,23,0.503629588634265
nulo_global,24,0.5030174896525837
nulo_global,25,0.5002749892907518
nulo_global,26,0.501739606162909
nulo_global,27,0.496036491269054
nulo_global,28,0.5011347512994412
nulo_global,29,0.4992507326635172
nulo_global,30,0.4991922785216986
nulo_global,31,0.49989316550889146
nulo_global,32,0.5011382295246148
nulo_global,33,0.49799941475754794
nulo_global,34,0.4986799483267322
nulo_global,35,0.5023812457133892
nulo_global,36,0.5004934531735334
nulo_global,37,0.49821520565353133
nulo_global,38,0.4989784474317515
nulo_global,39,0.4993540904553952
nulo_global,40,0.49922427181532525
nulo_global,41,0.49981954026741704
nulo_global,42,0.5008521722931621
nulo_global,43,0.500381205801861
nulo_global,44,0.4990325215250298
nulo_global,45,0.49849673135362044
nulo_global,46,0.5005118992081403
nulo_global,47,0.5002057184452956
nulo_global,48,0.5011667638359242
nulo_global,49,0.499403407727804
nulo_dentro_do_municipio,0,0.6636345625085841
nulo_dentro_do_municipio,1,0.6635033784002106
nulo_dentro_do_municipio,2,0.6636996480098715
nulo_dentro_do_municipio,3,0.6631861054735915
nulo_dentro_do_municipio,4,0.6634630619283743
nulo_dentro_do_municipio,5,0.6635723972868245
nulo_dentro_do_municipio,6,0.66325685393834
nulo_dentro_do_municipio,7,0.6640598005801573
nulo_dentro_do_municipio,8,0.6628411796596598
nulo_dentro_do_municipio,9,0.6637675287366035
nulo_dentro_do_municipio,10,0.6639131229228264
nulo_dentro_do_municipio,11,0.6631951160186771
nulo_dentro_do_municipio,12,0.6639341746482682
nulo_dentro_do_municipio,13,0.6638373075700832
nulo_dentro_do_municipio,14,0.663491724779831
nulo_dentro_do_municipio,15,0.6639425804751342
nulo_dentro_do_municipio,16,0.6634988059893628
nulo_dentro_do_municipio,17,0.663753004689227
nulo_dentro_do_municipio,18,0.663750447467883
nulo_dentro_do_municipio,19,0.6635271672675106
