id_municipio,nome_municipio,sigla_uf,nome_regiao,n_alunos_avaliados,populacao_estimada,taxa_presenca_2024,risco_medio_oof,risco_suavizado,posicao_por_taxa,decil_por_taxa,criancas_em_risco,posicao_por_volume,decil_por_volume,taxa_alfabetizacao_2024,taxa_observada_de_risco,taxa_observada_ajustada,mun_taxa_alfab_lag1,modelo_avaliado,ordenacao_fragil
2929909,Seabra,BA,Nordeste,406,406.0,0.8565400843881856,0.5733886712726198,0.5733693943930583,661.0,2.0,232.78797412358168,648.0,2.0,0.3497537,0.6502463,0.6410555089972091,48.675724029541016,True,True
4311775,Maquiné,RS,Sul,50,59.0,0.847457627118644,0.573430830092073,0.5732743895512127,662.0,2.0,33.82318898352155,3001.0,6.0,0.368523,0.63147706,0.6010338409957499,45.60538864135742,True,True
1301605,Fonte Boa,AM,Norte,242,332.99,0.7267267267267268,0.5731485949373919,0.5731163026700561,663.0,2.0,190.84199202926308,775.0,2.0,0.4443677,0.55563235,0.5588830535155704,37.28642654418945,True,True
2415008,Vila Flor,RN,Nordeste,50,62.06,0.8064516129032258,0.5731954609588213,0.5730392375417517,664.0,2.0,35.56281586879074,2920.0,6.0,0.3904286,0.6095714,0.5904934905623964,19.379064559936523,True,True
2906899,Caraíbas,BA,Nordeste,90,90.0,0.9183673469387755,0.5727851840910828,0.5726985680547333,665.0,2.0,51.542871124925995,2363.0,5.0,0.35555556,0.64444447,0.6172190048373947,46.59078598022461,True,True
2707701,Rio Largo,AL,Nordeste,1249,1380.07,0.90572878897752,0.5724272655310584,0.572421034441816,666.0,2.0,789.9810662568466,177.0,1.0,0.3881325,0.61186755,0.6101998456021425,36.88678741455078,True,True
2405207,Janduís,RN,Nordeste,43,43.87,0.9772727272727273,0.5725899729245681,0.5724089944451062,667.0,2.0,25.11158197490804,3499.0,7.0,0.37223616,0.62776387,0.5967632243136893,28.702116012573242,True,True
2707206,Poço das Trincheiras,AL,Nordeste,163,165.09,0.9878787878787879,0.5721981183681899,0.5721504488073249,668.0,2.0,94.45631549832375,1496.0,3.0,0.48858202,0.51141804,0.5267826201521743,33.3843994140625,True,True
1718006,Porto Alegre do Tocantins,TO,Norte,47,54.94,0.8545454545454545,0.5719127657884332,0.571747839165728,669.0,2.0,31.411825498588925,3129.0,6.0,0.37950492,0.6204951,0.5942670135225399,7.570295810699463,True,True
1600402,Mazagão,AP,Norte,347,394.43,0.8807106598984772,0.5716271487442277,0.5716048290065858,670.0,2.0,225.45808851850884,676.0,2.0,0.44208097,0.557919,0.5597987737205762,29.379663467407227,True,True
1703305,Bom Jesus do Tocantins,TO,Norte,59,62.06,0.9516129032258065,0.5717249725220059,0.5715937109003864,671.0,2.0,35.473106483442486,2926.0,6.0,0.28553015,0.71446985,0.6455080290922091,26.134469985961914,True,True
2708006,Santana do Ipanema,AL,Nordeste,513,525.17,0.9771428571428571,0.5715831425896958,0.5715680485333039,672.0,2.0,300.1703822802266,499.0,1.0,0.4416665,0.5583335,0.5596195391178996,34.543487548828125,True,True
1304005,Silves,AM,Norte,181,208.0,0.8701923076923077,0.5714586049759265,0.5714158634010895,673.0,2.0,118.85449958742662,1212.0,3.0,0.416875,0.583125,0.580400648912044,57.12055587768555,True,True
2108702,Pio XII,MA,Nordeste,219,247.11,0.8866396761133604,0.5711302499915595,0.571094992404828,674.0,2.0,141.12328392172577,1034.0,2.0,0.6362349,0.36376512,0.40547701355566745,24.8485050201416,True,True
4301636,Balneário Pinhal,RS,Sul,163,207.0,0.7874396135265701,0.5709198193351288,0.5708725117259383,675.0,2.0,118.17060992726924,1220.0,3.0,0.43639448,0.56360555,0.5654545195481188,58.383583068847656,True,True
2806008,Ribeirópolis,SE,Nordeste,111,119.01,0.9411764705882353,0.5708777982391002,0.5708083551904222,676.0,2.0,67.93190357059034,1939.0,4.0,0.42181328,0.5781867,0.575760812153976,36.332149505615234,True,True
2917904,Jandaíra,BA,Nordeste,97,97.0,0.9603960396039604,0.5705702479717852,0.570490933290493,677.0,2.0,55.337620529177826,2245.0,5.0,0.36082473,0.63917524,0.6143094129309951,50.502471923828125,True,True
1302009,Itapiranga,AM,Norte,113,172.95,0.653179190751445,0.5701307297189527,0.5700628203425961,678.0,2.0,98.59236303855833,1433.0,3.0,0.30847067,0.69152933,0.6517154541345209,33.220184326171875,True,True
4322400,Uruguaiana,RS,Sul,966,1314.0,0.7351598173515982,0.5700391431394364,0.5700312008001417,679.0,2.0,749.0209978513861,188.0,1.0,0.45734823,0.5426518,0.5441307689256064,60.94593811035156,True,True
2932101,Ubaíra,BA,Nordeste,131,131.0,0.9424460431654677,0.5700528390371264,0.5699942848732131,680.0,2.0,74.66925131839092,1801.0,4.0,0.38931298,0.610687,0.5986492816974543,47.38901901245117,True,True
2903276,Barrocas,BA,Nordeste,91,91.0,0.8053097345132744,0.5700283324597452,0.5699440656793191,681.0,2.0,51.86490997681804,2355.0,5.0,0.46153846,0.53846157,0.5503726420844893,42.08724594116211,True,True
4301602,Bagé,RS,Sul,898,1075.8334,0.8347260909935005,0.5697153512728782,0.5697068241856125,682.0,2.0,612.9096148677847,228.0,1.0,0.43374944,0.56625056,0.5664510200142197,59.60520553588867,True,True
5102702,Canarana,MT,Centro-Oeste,303,361.1,0.8393351800554016,0.5695966033129352,0.5695713522565841,683.0,2.0,205.67221877624016,731.0,2.0,0.42060372,0.5793963,0.5778874143489815,34.7490234375,True,True
2706802,Piaçabuçu,AL,Nordeste,226,241.26,0.9377593360995851,0.5694327622529995,0.5693989431799099,684.0,2.0,137.37318590378325,1067.0,2.0,0.42381665,0.5761834,0.5748592885280225,31.735763549804688,True,True
4313375,Nova Santa Rita,RS,Sul,357,420.0,0.85,0.5689683303263312,0.5689469795004154,685.0,2.0,238.95773139017447,621.0,2.0,0.6487715,0.3512285,0.3803619742330431,57.277732849121094,True,True
3304102,Porciúncula,RJ,Sudeste,123,139.08,0.8848920863309353,0.5688226294581927,0.5687607298945796,686.0,2.0,79.10324335517014,1719.0,4.0,0.5238711,0.47612885,0.5048222253793901,35.378883361816406,True,True
1502707,Conceição do Araguaia,PA,Norte,506,585.76,0.864957264957265,0.5687272577964494,0.5687122154909651,687.0,2.0,333.1288728998179,446.0,1.0,0.5076994,0.49230057,0.4998111630811728,38.7448616027832,True,True
2401909,Caiçara do Rio do Vento,RN,Nordeste,51,54.91,0.9272727272727272,0.5688284749062463,0.5686792614710093,688.0,2.0,31.226178160599552,3141.0,6.0,0.36914954,0.6308505,0.5986285665799934,59.195281982421875,True,True
1721307,Tupiratins,TO,Norte,26,26.0,1.0,0.5689373225036843,0.5686446959874083,689.0,2.0,14.784762095672615,4262.0,8.0,0.53846157,0.46153846,0.5345251062442409,25.0,True,True
