id_municipio,taxa_2023,taxa_2024,meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,n_alunos_avaliados,taxa_presenca_2024,sigla_uf,nome_regiao,n_alunos_2023,taxa_2024_suavizada,projecao_2025,dp_latente_pp,intervalo_2025_inferior,intervalo_2025_superior,p_abaixo_da_meta_2025,gap_de_esforco_2025,meta_dentro_do_intervalo,natureza_resultado,porte_abaixo_referencia_dispersao
4321303,49.6,13.2,54.6,59.5,64.22,68.68,72.82,76.6,80,226,0.8158844765342961,RS,Sul,258.0,14.93216715165764,17.24523868875354,12.364665155404024,0.0,41.47953707424278,0.9996838653761263,46.3,False,cenario_condicional_sem_validacao_em_ano_futuro,False
4317004,48.8,13.1,53.93,58.96,63.81,68.39,72.65,76.52,80,42,0.8571428571428571,RS,Sul,46.0,21.08501894999825,23.398090487094148,19.889914097122315,0.0,62.38160577304939,0.9631068981740057,45.86,True,cenario_condicional_sem_validacao_em_ano_futuro,True
2100808,91.1,34.63,80.0,80.0,80.0,80.0,80.0,80.0,80,109,0.7676056338028169,MA,Nordeste,179.0,36.42375239414736,38.73682393124326,14.572427695956453,10.175390479854602,67.2982573826319,0.9976841578195689,45.37,False,cenario_condicional_sem_validacao_em_ano_futuro,True
1711100,64.2,24.0,66.76,69.25,71.64,73.92,76.07,78.1,80,25,0.8333333333333334,TO,Norte,39.0,33.050861508881034,35.363933045976935,24.460902893658698,0.0,83.30642174687958,0.9170219858257138,45.25,True,cenario_condicional_sem_validacao_em_ano_futuro,True
3505401,87.5,34.89,80.0,80.0,80.0,80.0,80.0,80.0,80,55,0.9322033898305084,SP,Sudeste,,38.15748389499843,40.47055543209433,18.031695651542478,5.129081374883562,75.81202948930509,0.9858181889527089,45.11,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4313102,81.1,35.9,80.0,80.0,80.0,80.0,80.0,80.0,80,35,0.8333333333333334,RS,Sul,33.0,40.440014558291686,42.75308609538759,21.336220302238143,0.9348627367885101,84.57130945398666,0.9595695692695185,44.1,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4320230,85.3,36.1,80.0,80.0,80.0,80.0,80.0,80.0,80,19,0.9047619047619048,RS,Sul,34.0,43.15860890254699,45.47168043964289,27.504555203994084,0.0,99.37961805026501,0.8953272751913532,43.9,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4218954,80.2,36.34,80.0,80.0,80.0,80.0,80.0,80.0,80,43,0.7818181818181819,SC,Sul,40.0,40.10615170508188,42.41922324217778,19.714854091808157,3.778819261771666,81.05962722258388,0.9716889276135573,43.66,True,cenario_condicional_sem_validacao_em_ano_futuro,True
4305900,79.2,36.0,79.32,79.43,79.55,79.66,79.77,79.89,80,77,0.9166666666666666,RS,Sul,57.0,38.31523749015787,40.62830902725377,16.12748969033818,9.0190100731499,72.23760798135763,0.9919344314427547,43.43000000000001,False,cenario_condicional_sem_validacao_em_ano_futuro,True
4310702,88.9,36.8,80.0,80.0,80.0,80.0,80.0,80.0,80,29,0.90625,RS,Sul,30.0,41.83937198769299,44.15244352478889,23.005484136729415,0.0,89.24236387968608,0.9404091948022651,43.2,True,cenario_condicional_sem_validacao_em_ano_futuro,True
