id_municipio,sigla_uf,nome_regiao,cluster,cluster_nome,n_avaliados,taxa_alfabetizacao_2023,taxa_alfabetizacao_2024,media_portugues_2024,taxa_presenca_2024,log_porte,share_rede_estadual,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
4115457,PR,Sul,1,faixa intermediária,73,0.739861249923706,0.82166016,763.3659,0.948051948051948,1.863322860120456,0.0,0.0,0.0,0.0,1.36,27.55,46.19,18.17,5.38,1.36
4115507,PR,Sul,1,faixa intermediária,42,0.576644241809845,0.75846595,759.61145,0.8571428571428571,1.6232492903979006,0.0,2.04,5.31,2.16,10.44,6.36,39.5,25.5,5.43,3.27
4115606,PR,Sul,1,faixa intermediária,244,0.7352484464645386,0.7141994,753.29083,0.8683274021352313,2.387389826338729,0.0,0.79,4.09,7.14,7.68,18.54,31.79,22.58,6.27,1.13
4115705,PR,Sul,1,faixa intermediária,485,0.7038442492485046,0.6315388,746.7789,0.8043117744610282,2.6857417386022635,0.0,2.05,3.16,6.34,10.51,24.66,34.47,14.26,3.64,0.9
4115739,PR,Sul,1,faixa intermediária,27,0.7001684308052063,0.92512816,770.5185,0.6923076923076923,1.4313637641589874,0.0,3.75,0.0,0.0,0.0,18.4,33.47,33.39,7.33,3.66
4115754,PR,Sul,1,faixa intermediária,149,0.8113061785697937,0.8048839,764.2568,0.8869047619047619,2.173186268412274,0.0,0.7,2.18,1.27,3.67,20.14,35.02,28.4,5.44,3.18
4115804,PR,Sul,1,faixa intermediária,665,0.792207658290863,0.7909877,765.4955,0.873850197109067,2.8228216453031045,0.0,0.63,2.06,1.67,4.89,16.84,34.18,26.61,10.82,2.3
4115853,PR,Sul,1,faixa intermediária,103,0.912451982498169,0.93066686,780.53143,0.9716981132075472,2.012837224705172,0.0,0.0,0.0,0.0,1.95,6.98,30.25,45.42,9.54,5.86
4116059,PR,Sul,1,faixa intermediária,136,0.8866552114486694,0.83263224,764.1081,0.9379310344827586,2.1335389083702174,0.0,1.45,0.0,2.1,2.2,19.76,40.88,24.45,7.63,1.53
4116109,PR,Sul,1,faixa intermediária,106,0.7932974696159363,0.7800321,757.55133,0.8983050847457628,2.0253058652647704,0.0,0.0,0.95,3.79,4.79,21.88,49.89,13.14,2.88,2.68
4116208,PR,Sul,1,faixa intermediária,231,0.6841651201248169,0.5968615,745.7946,0.8461538461538461,2.3636119798921444,0.0,1.0,2.79,8.71,11.75,26.63,29.5,16.64,2.61,0.38
4116307,PR,Sul,1,faixa intermediária,60,0.5323042273521423,0.8,759.20355,0.9523809523809523,1.7781512503836436,0.0,0.0,5.0,3.25,5.08,23.41,28.25,21.59,10.08,3.33
4116406,PR,Sul,1,faixa intermediária,39,0.7914586067199707,0.94807565,771.4639,0.8863636363636364,1.591064607026499,0.0,0.0,0.0,0.0,2.76,5.19,43.8,40.29,7.95,0.0
4116604,PR,Sul,1,faixa intermediária,33,0.6254372596740723,0.7880184,760.4095,0.8461538461538461,1.5185139398778875,0.0,0.0,0.0,0.0,3.08,33.25,42.56,12.14,5.98,2.99
